,index,depth_chart_position,penalty
0,23,SAF,4
1,4,DL,15
2,9,HB,19
3,22,S,51
4,11,K,211
5,6,FB,235
6,19,P,265
7,16,OG,380
8,13,LS,439
9,14,MLB,464
10,12,LB,500
11,15,NT,554
12,2,DB,623
13,18,OT,672
14,10,ILB,1416
15,21,RB,1504
16,24,SS,1565
17,7,FS,1569
18,20,QB,1684
19,0,C,1794
20,5,DT,2459
21,17,OLB,2654
22,26,TE,2986
23,3,DE,3040
24,8,G,3565
25,27,WR,4388
26,25,T,5053
27,1,CB,6965
