penalty_team,season,penalty_type,penalty
ARI,2022,Illegal Forward Pass,1.0
ARI,2022,Illegal Shift,3.0
ARI,2022,Illegal Touch Pass,1.0
ARI,2022,Ineligible Downfield Pass,5.0
ARI,2022,Intentional Grounding,3.0
ARI,2022,Neutral Zone Infraction,9.0
ARI,2022,Offensive Holding,24.0
ARI,2022,Offensive Pass Interference,2.0
ARI,2022,Offensive Too Many Men on Field,2.0
ARI,2022,Player Out of Bounds on Kick,1.0
ARI,2022,Roughing the Passer,3.0
ARI,2022,Taunting,1.0
ARI,2022,Unnecessary Roughness,5.0
ARI,2023,Chop Block,1.0
ARI,2023,Defensive Holding,9.0
ARI,2023,Defensive Offside,1.0
ARI,2023,Defensive Pass Interference,9.0
ARI,2023,Delay of Game,3.0
ARI,2023,Face Mask,2.0
ARI,2023,False Start,23.0
ARI,2023,Illegal Block Above the Waist,3.0
ARI,2023,Illegal Contact,2.0
ARI,2023,Illegal Shift,2.0
ARI,2023,Ineligible Downfield Pass,4.0
ARI,2023,Intentional Grounding,1.0
ARI,2023,Lowering the Head to Make Forcible Contact,2.0
ARI,2023,Neutral Zone Infraction,2.0
ARI,2023,Offensive Holding,20.0
ARI,2023,Offensive Offside,2.0
ARI,2023,Offensive Pass Interference,3.0
ARI,2023,Offside on Free Kick,1.0
ARI,2023,Player Out of Bounds on Kick,1.0
ARI,2023,Roughing the Passer,5.0
ARI,2023,Unnecessary Roughness,4.0
ARI,2023,Unsportsmanlike Conduct,1.0
ARI,2024,Defensive Holding,3.0
ARI,2024,Defensive Offside,3.0
ARI,2024,Defensive Pass Interference,8.0
ARI,2024,Defensive Too Many Men on Field,3.0
ARI,2024,Delay of Game,5.0
ARI,2024,Face Mask,1.0
ARI,2024,Fair Catch Interference,1.0
ARI,2024,False Start,14.0
ARI,2024,Illegal Blindside Block,1.0
ARI,2024,Illegal Block Above the Waist,2.0
ARI,2024,Illegal Contact,1.0
ARI,2024,Illegal Formation,1.0
ARI,2024,Illegal Touch Pass,1.0
ARI,2024,Ineligible Downfield Kick,1.0
ARI,2024,Ineligible Downfield Pass,4.0
ARI,2024,Intentional Grounding,1.0
ARI,2024,Kickoff Short of Landing Zone,1.0
ARI,2024,Neutral Zone Infraction,3.0
ARI,2024,Offensive Holding,27.0
ARI,2024,Offensive Offside,1.0
ARI,2024,Offensive Pass Interference,3.0
ARI,2024,Roughing the Passer,2.0
ARI,2024,Taunting,1.0
ARI,2024,Unnecessary Roughness,4.0
ARI,2025,Defensive Holding,9.0
ARI,2025,Defensive Offside,5.0
ARI,2025,Defensive Pass Interference,7.0
ARI,2025,Delay of Game,4.0
ARI,2025,Encroachment,4.0
ARI,2025,Face Mask,6.0
ARI,2025,False Start,18.0
ARI,2025,Illegal Blindside Block,1.0
ARI,2025,Illegal Block Above the Waist,1.0
ARI,2025,Illegal Contact,4.0
